sender,receiver,edge_type
emilyriehl,blviray,retweet
emilyriehl,pwr2dppl,retweet
emilyriehl,WanderingPoint,retweet
emilyriehl,blviray,mention
emilyriehl,pwr2dppl,mention
emilyriehl,WanderingPoint,mention
emilyriehl,pwr2dppl,mention
emilyriehl,WanderingPoint,mention
EmilyTWinn13,MarissaKawehi,retweet
EmilyTWinn13,MarissaKawehi,mention
Enchilaudanum,WanderingPoint,retweet
Enchilaudanum,matthematician,retweet
Enchilaudanum,mathyadriana,retweet
Enchilaudanum,WanderingPoint,mention
Enchilaudanum,matthematician,mention
Enchilaudanum,WanderingPoint,mention
Enchilaudanum,mathyadriana,mention
Enchilaudanum,LoboWithACause,mention
eringriffin003,mathprofcarrie,retweet
eringriffin003,mathprofcarrie,mention
eringriffin003,jmm2021,mention
ESMathTeacher,KJMDPhD,retweet
ESMathTeacher,KyJmd,mention
eterEphemeral,WanderingPoint,retweet
eterEphemeral,WanderingPoint,mention
eterEphemeral,mathyadriana,mention
evelynjlamb,frontLahn,retweet
evelynjlamb,frontLahn,mention
EWhitteck,siwelwerd,quote-tweet
eyescientific,blkmathmagic,retweet
eyescientific,blkmathmagic,retweet
eyescientific,MarissaKawehi,retweet
eyescientific,blkmathmagic,mention
eyescientific,pwr2dppl,mention
eyescientific,blkmathmagic,mention
eyescientific,MarissaKawehi,mention
f_futamura,WanderingPoint,retweet
f_futamura,WanderingPoint,mention
FedericoArdila,FedericoArdila,reply
FedericoArdila,RG1gal,retweet
FedericoArdila,WanderingPoint,quote-tweet
FedericoArdila,RG1gal,mention
FedericoArdila,JointMath,mention
FedericoArdila,mayli,mention
FedericoArdila,duanecoop,mention
FedericoArdila,priyam886,mention
FedericoArdila,HaydeeLindo,mention
FedericoArdila,ErikaTCamacho,mention
FedericoArdila,mayli,mention
FedericoArdila,LoboWithACause,mention
FedericoArdila,pwr2dppl,mention
FedericoArdila,WanderingPoint,mention
FedericoArdila,mathprofcarrie,mention
FedericoArdila,JointMath,mention
FidgeyB,WanderingPoint,retweet
FidgeyB,WanderingPoint,mention
FolaAgusto,mathprofcarrie,retweet
FolaAgusto,mathprofcarrie,mention
FolaAgusto,jmm2021,mention
fra_berni,fra_berni,reply
fra_berni,fra_berni,reply
fra_berni,fra_berni,reply
fra_berni,fra_berni,reply
fra_berni,fra_berni,reply
fra_berni,WanderingPoint,reply
fra_berni,fra_berni,reply
fra_berni,pwr2dppl,retweet
fra_berni,qsideinstitute,retweet
fra_berni,PamHarris1128,mention
fra_berni,pwr2dppl,mention
fra_berni,LoboWithACause,mention
fra_berni,PamHarris1128,mention
fra_berni,qsideinstitute,mention
fra_berni,JointMath,mention
fra_berni,LoboWithACause,mention
fra_berni,pwr2dppl,mention
fra_berni,LoboWithACause,mention
fra_berni,WanderingPoint,mention
fra_berni,mathprofcarrie,mention
fra_berni,pwr2dppl,mention
fra_berni,FedericoArdila,mention
fra_berni,LoboWithACause,mention
fra_berni,ClaudioJacobo,mention
fra_berni,blkmathmagic,mention
fra_berni,xl772,mention
fra_berni,PamHarris1128,mention
fra_berni,MarissaRenardy,mention
fra_berni,JointMath,mention
fraarici,WanderingPoint,retweet
fraarici,WanderingPoint,mention
frontLahn,pwr2dppl,retweet
frontLahn,mathprofcarrie,retweet
frontLahn,sbagley,retweet
frontLahn,sbagley,retweet
frontLahn,pwr2dppl,retweet
frontLahn,frontLahn,quote-tweet
frontLahn,pwr2dppl,mention
frontLahn,mathprofcarrie,mention
frontLahn,sbagley,mention
frontLahn,sbagley,mention
frontLahn,pwr2dppl,mention
G2Campbell,blviray,retweet
G2Campbell,blviray,mention
G2Campbell,pwr2dppl,mention
G2Campbell,WanderingPoint,mention
GaryAdolphson,mathprofcarrie,retweet
GaryAdolphson,mathprofcarrie,mention
GaryAdolphson,jmm2021,mention
geonz,RG1gal,retweet
geonz,RG1gal,mention
gitanjalivi,monsoon0,reply
gitanjalivi,monsoon0,reply
gitanjalivi,monsoon0,mention
gitanjalivi,monsoon0,mention
GizemKaraali_,KJMDPhD,retweet
GizemKaraali_,WanderingPoint,retweet
GizemKaraali_,RG1gal,retweet
GizemKaraali_,mathprofcarrie,retweet
GizemKaraali_,VictorPiercey1,retweet
GizemKaraali_,sbagley,retweet
GizemKaraali_,KyJmd,mention
GizemKaraali_,WanderingPoint,mention
GizemKaraali_,RG1gal,mention
GizemKaraali_,mathprofcarrie,mention
GizemKaraali_,VictorPiercey1,mention
GizemKaraali_,mathbabedotorg,mention
GizemKaraali_,kenandoesmath,mention
GizemKaraali_,JointMath,mention
GizemKaraali_,maanow,mention
GizemKaraali_,sbagley,mention
gleuschk,swirlgirl31415,retweet
gleuschk,swirlgirl31415,mention
gleuschk,dtkung,mention
gleuschk,maanow,mention
GoodsiePhD,mathprofcarrie,retweet
GoodsiePhD,mathprofcarrie,mention
GoodsiePhD,jmm2021,mention
GoodsiePhD,dtkung,mention
GoodsiePhD,jmm2021,mention
GuldenKarakok,sbagley,retweet
GuldenKarakok,sbagley,mention
hannahfenster93,monsoon0,retweet
hannahfenster93,monsoon0,mention
HaydeeLindo,GoodsiePhD,retweet
HaydeeLindo,GoodsiePhD,mention
HaydeeLindo,dtkung,mention
heidifessenden,RG1gal,retweet
heidifessenden,RG1gal,mention
HeyHeresSteve,KJMDPhD,retweet
HeyHeresSteve,WanderingPoint,retweet
HeyHeresSteve,KyJmd,mention
HeyHeresSteve,WanderingPoint,mention
holom0rph,SwipeWright,reply
holom0rph,SwipeWright,mention
howe,ClaudioJacobo,retweet
howe,ClaudioJacobo,mention
HthrLynnJ,HthrLynnJ,reply
HthrLynnJ,pwr2dppl,retweet
HthrLynnJ,mathprofcarrie,retweet
HthrLynnJ,LoboWithACause,mention
HthrLynnJ,LoboWithACause,mention
HthrLynnJ,DingleTeach,mention
HthrLynnJ,pwr2dppl,mention
HthrLynnJ,mathprofcarrie,mention
ilaba,WanderingPoint,retweet
ilaba,WanderingPoint,mention
ilana_horn,RG1gal,retweet
ilana_horn,RG1gal,mention
ipnosimmia,WanderingPoint,retweet
ipnosimmia,WanderingPoint,mention
j_lanier,WanderingPoint,retweet
j_lanier,WanderingPoint,mention
jackrsturm,mathprofcarrie,retweet
jackrsturm,mathprofcarrie,mention
jackrsturm,jmm2021,mention
jacksonfulton2,MarissaKawehi,reply
jacksonfulton2,MarissaKawehi,mention
jacksonfulton2,blkmathmagic,mention
jacksonmorris_,sbagley,retweet
jacksonmorris_,sbagley,mention
JadeMasterMath,WanderingPoint,retweet
JadeMasterMath,WanderingPoint,mention
jajensen681,pwr2dppl,retweet
jajensen681,pwr2dppl,retweet
jajensen681,mathyadriana,retweet
jajensen681,pwr2dppl,mention
jajensen681,pwr2dppl,mention
jajensen681,mathyadriana,mention
jajensen681,LoboWithACause,mention
jasonemiller,DrMRLD,retweet
jasonemiller,DrMRLD,mention
JasonWilliamsNY,monsoon0,retweet
JasonWilliamsNY,monsoon0,mention
JasonWilliamsNY,mathprofcarrie,mention
JeffGraham15,qsideinstitute,retweet
JeffGraham15,qsideinstitute,mention
JeffGraham15,JointMath,mention
jen_loescher,RG1gal,retweet
jen_loescher,RG1gal,mention
jennalaib,benjamindickman,retweet
jennalaib,benjamindickman,mention
jensilvermath,kellydholstine,mention
jensilvermath,YouTube,mention
jessalynalyn,WanderingPoint,retweet
jessalynalyn,WanderingPoint,mention
JessieLenarz,WanderingPoint,retweet
JessieLenarz,WanderingPoint,mention
JoannaWares,sbagley,retweet
JoannaWares,sbagley,mention
JoFerMedina,mathprofcarrie,retweet
JoFerMedina,mathprofcarrie,mention
JohannaF_math,JohannaF_math,reply
JohannaF_math,JohannaF_math,reply
JohannaF_math,mathillustrated,retweet
JohannaF_math,mathcourtney,retweet
JohannaF_math,mathillustrated,mention
JohannaF_math,timchartier,mention
JohannaF_math,mathcourtney,mention
JohannaF_math,HZinnbrooks,mention
JointMath,qsideinstitute,retweet
JointMath,mathprofcarrie,retweet
JointMath,MarissaKawehi,retweet
JointMath,monsoon0,retweet
JointMath,frontLahn,retweet
JointMath,mathprofcarrie,retweet
JointMath,WanderingPoint,retweet
JointMath,sbagley,retweet
JointMath,WanderingPoint,retweet
JointMath,katebelin,retweet
JointMath,sbagley,retweet
JointMath,VictorPiercey1,retweet
JointMath,pwr2dppl,retweet
JointMath,HthrLynnJ,retweet
JointMath,monsoon0,retweet
JointMath,MBarany,retweet
JointMath,pwr2dppl,retweet
JointMath,sbagley,retweet
JointMath,RachelleDeCoste,retweet
JointMath,joshlaison,retweet
JointMath,mathprofcarrie,retweet
JointMath,monsoon0,retweet
JointMath,dtkung,retweet
JointMath,monsoon0,retweet
JointMath,sbagley,retweet
JointMath,ClaudioJacobo,retweet
JointMath,pwr2dppl,retweet
JointMath,MBarany,retweet
JointMath,fra_berni,retweet
JointMath,mathprofcarrie,retweet
JointMath,sbagley,retweet
JointMath,AliciaPL25,retweet
JointMath,mathyadriana,retweet
JointMath,CKalinecCraig,retweet
JointMath,mathyadriana,retweet
JointMath,LoboWithACause,retweet
JointMath,Shelby_M_Scott,retweet
JointMath,Shelby_M_Scott,retweet
JointMath,sbagley,retweet
JointMath,mathyadriana,retweet
JointMath,KristinePelatt,retweet
JointMath,pwr2dppl,retweet
JointMath,darrenglass,retweet
JointMath,mathprofcarrie,retweet
JointMath,monsoon0,retweet
JointMath,sbagley,retweet
JointMath,sbagley,retweet
JointMath,susan_dagostino,retweet
JointMath,RachelleDeCoste,retweet
JointMath,sbagley,retweet
JointMath,sbagley,retweet
JointMath,mathprofcarrie,retweet
JointMath,thewordninja_bk,retweet
JointMath,blkmathmagic,retweet
JointMath,mathprofcarrie,retweet
JointMath,mathprofcarrie,retweet
JointMath,LoboWithACause,retweet
JointMath,elizabethmunch,retweet
JointMath,monsoon0,retweet
JointMath,swirlgirl31415,retweet
JointMath,sbagley,retweet
JointMath,sbagley,retweet
JointMath,WanderingPoint,retweet
JointMath,FedericoArdila,retweet
JointMath,mathprofcarrie,retweet
JointMath,mathyadriana,retweet
JointMath,HthrLynnJ,retweet
JointMath,mathprofcarrie,retweet
JointMath,mathprofcarrie,retweet
JointMath,mathprofcarrie,retweet
JointMath,fra_berni,retweet
JointMath,sbagley,retweet
JointMath,mathprofcarrie,retweet
